target_skills,Synonyms
html,"html, css"
revit,revit
power bi,power bi
strategic planning,"strategic planning, business acumen"
motivation,"motivation, strong work ethic"
react,react
business intelligence,business intelligence
c#,c#
windows,windows
loss prevention,"loss prevention, asset protection"
dental insurance,"dental insurance, dental"
nursing,"nursing, registered nurse"
c++,"c++, c/c++"
cloud computing,"cloud computing, azure, gcp, microservices"
compliance,"compliance, regulatory compliance, standards, regulations"
jira,"jira, confluence"
driver's license,"driver's license, valid driver's license, reliable transportation"
security,"security, network security, information security, cybersecurity, safety compliance, secret clearance, security clearance"
financial modeling,financial modeling
javascript,"javascript, typescript"
machine learning,"machine learning, artificial intelligence, ai"
travel,"travel, ability to travel"
hvac,hvac
electrical,"electrical, electrical systems, plc, plc programming"
plumbing,plumbing
c,c
networking,"networking, dns, tcp/ip"
accounting,"accounting, finance"
negotiation,"negotiation, negotiation skills"
business administration,business administration
401(k),"401(k), 401k, 401(k) plan"
health insurance,"health insurance, medical insurance"
life insurance,life insurance
vision insurance,vision insurance
employee assistance program,employee assistance program
disability insurance,disability insurance
tuition reimbursement,tuition reimbursement
professionalism,professionalism
physical strength,"physical strength, ability to lift heavy objects, physical demands, physical stamina, physical fitness"
technical support,technical support
solidworks,solidworks
u.s. citizenship,"u.s. citizenship, us citizenship"
standing,"standing, walking, kneeling, bending"
fastpaced environment,"fastpaced environment, ability to work in a fastpaced environment, ability to work under pressure"
education,"education, teaching"
cosmetology license,"cosmetology license, barber license, hair styling, cosmetology"
technical skills,"technical skills, technical expertise, computer skills, basic computer skills"
english,"english, english proficiency"
reliability,reliability
professional development,professional development
configuration management,configuration management
maintenance,"maintenance, preventative maintenance, preventive maintenance, equipment maintenance, repair"
supply chain management,"supply chain management, logistics, procurement"
oracle,oracle
operations,operations
team building,team building
data entry,data entry
matlab,matlab
microstation,microstation
carpentry,carpentry
robotics,robotics
kafka,kafka
microsoft project,"microsoft project, ms project"
scala,scala
food safety,food safety
background check,background check
procedures,procedures
interviewing,"interviewing, hiring, recruiting, recruitment"
human resources,human resources
prototyping,prototyping
financial reporting,financial reporting
commissioning,commissioning
implementation,implementation
node.js,node.js
software,software
network engineering,network engineering
installation,installation
physics,physics
mysql,mysql
business,business
accountability,accountability
integration,"integration, system integration, etl, data integration"
technology,technology
remote work,remote work
validation,validation
spark,spark
.net,.net
sustainability,sustainability
inspection,inspection
covid19 vaccination,covid19 vaccination
instrumentation,instrumentation
cpr,cpr
proposal writing,proposal writing
hadoop,hadoop
painting,painting
reports,reports
salesforce,salesforce
event planning,event planning
medical,medical
data governance,data governance
pmp certification,pmp certification
environmental engineering,environmental engineering
pe license,pe license
flexible schedule,flexible schedule
ged,ged
video game knowledge,video game knowledge
basic math skills,basic math skills
databases,databases
sharepoint,sharepoint
scripting,"scripting, powershell, bash"
physical stamina,physical stamina
angular,angular
writing,writing
401k,401k
monitoring,monitoring
confluence,confluence
bending,bending
math skills,math skills
technical documentation,technical documentation
estimating,estimating
equity,equity
visio,visio
data structures,data structures
erp,"erp, erp systems"
snowflake,snowflake
geotechnical engineering,geotechnical engineering
gmp,gmp
execution,execution
json,json
algorithms,algorithms
scalability,scalability
sas,sas
stress management,stress management
information systems,information systems
splunk,splunk
personal training,personal training
competitive salary,competitive salary
production,production
record keeping,record keeping
emergency response,emergency response
cissp,cissp
postgresql,postgresql
civil 3d,civil 3d
market research,market research
manufacturing processes,manufacturing processes
benefits,benefits
computer literacy,computer literacy
mechanical systems,mechanical systems
empathy,empathy
drawings,drawings
delegation,delegation
biology,biology
firewalls,firewalls
chemistry,chemistry
economics,economics
specifications,specifications
go,go
autonomy,autonomy
distributed systems,distributed systems
gis,gis
incident response,incident response
onboarding,onboarding
hydraulics,hydraulics
evaluation,evaluation
first aid,first aid
optimization,optimization
consulting,consulting
vmware,vmware
building codes,building codes
product knowledge,product knowledge
objectoriented programming,objectoriented programming
registered nurse,registered nurse
medical insurance,medical insurance
mechanical,mechanical
support,support
osha,osha
team environment,team environment
cosmetology,cosmetology
kneeling,kneeling
client relationship management,client relationship management
account management,account management
github,github
reliable transportation,reliable transportation
bash,bash
ms word,ms word
microsoft powerpoint,microsoft powerpoint
