Word,Frequency
written communication skills,1282
ability to travel,1143
valid driver's license,3237
litigation,338
relationship management,675
lead generation,401
outlook,2429
word,4056
excel,10544
sales management,575
sales experience,547
presentation skills,7037
english language proficiency,685
financial reporting,2304
presentation,1827
business acumen,1571
vision,1911
customer focus,1439
equity,1199
diversity,3029
inclusion,2142
patient care,3866
computer science,7237
team collaboration,3198
analytical thinking,2822
adaptability,8001
flexibility,6837
positive attitude,2433
professionalism,2452
retail experience,1482
nursing,2767
healthcare,2186
compassion,757
empathy,1024
management,3848
flexible work schedule,466
professional development,2159
competitive salary,1311
design,5528
supervision,4858
writing,1765
program management,2462
curriculum development,782
windows,3265
specifications,2652
cleanliness,279
engineering,12726
operations management,860
human resources,1883
onboarding,1589
pos systems,350
data analytics,3667
statistical analysis,3129
finance,3762
microsoft word,3705
microsoft outlook,1061
microsoft powerpoint,1260
vendor management,2427
jira,4720
email,1003
presentations,1580
registered nurse,1118
covid19 vaccination,605
treatment planning,291
client management,1238
crisis intervention,370
cpr,1465
computer literacy,1147
wound care,193
case management,852
assessment,1038
customer relationship management,946
salesforce,1551
public speaking,1635
merchandising,2378
crm,1018
mental health,437
advocacy,388
quality improvement,1198
education,2004
procedures,1783
billing,644
safety procedures,1572
technical skills,1633
powerpoint,4587
javascript,5844
agile,6757
git,4352
cloud computing,3793
feedback,688
people management,1005
organization skills,823
written communication,9145
verbal communication,7621
hvac,3544
revit,2906
linux,5309
first aid,1231
worklife balance,700
quality management,1625
software engineering,5151
implementation,1738
independent work,2392
decisionmaking,3334
goal setting,554
surgery,230
dentistry,157
client service,641
continuing education,700
retirement plan,456
holidays,1091
equal opportunity employer,3863
integrity,2313
account management,1131
payroll,775
c++,4631
ms office,3153
analysis,3300
electrical,3525
resilience,779
resource management,1752
visual merchandising,502
crossfunctional collaboration,2352
product knowledge,1101
customer satisfaction,811
patient assessment,371
employee assistance program,1666
installation,1721
supervisory experience,2729
reliability,1999
statistics,2952
plumbing,3441
mathematics,2389
social media,779
technology,1336
prioritization,4946
health and safety,1063
food safety,1428
production,1277
auditing,1175
benefits,1089
career development,662
market research,1232
work ethic,1041
ability to work in a fastpaced environment,1610
ability to lift heavy objects,646
regulations,1227
architecture,2523
coordination,2261
quality,1811
fastpaced environment,2341
equipment operation,612
forklift operation,589
operations,2257
high school diploma or ged,2562
emergency response,1175
store management,399
inventory control,1545
scheduling,10635
high school diploma,5480
oral communication,2267
effective communication,1124
u.s. citizenship,2648
paid vacation,624
paid holidays,3001
basic computer skills,844
high school diploma or equivalent,1801
ability to work independently and as part of a team,1386
record keeping,1215
physician assistant,259
oncology,414
psychiatry,237
chemistry,2407
emr,528
primary care,179
epic,415
medical insurance,1353
dental insurance,3001
relocation assistance,437
selfstarter,1568
equipment maintenance,1685
physical fitness,1634
physical demands,1334
health insurance,2708
tuition reimbursement,2104
equal employment opportunity,1103
business,1713
master's degree,4208
ged,1151
associate's degree,893
planogram implementation,37
acls certification,232
staffing,765
acls,573
pals,287
social work,439
psychology,656
counseling,903
remote work,1421
sanitation,777
profitability,480
marketing,2789
licensure,345
bls certification,661
rehabilitation,661
lifting,3007
physical stamina,1386
data collection,2681
medical benefits,834
401k,1928
driving,605
physical requirements,1005
detail orientation,853
standing,1956
sitting,784
walking,1848
reaching,950
stooping,874
kneeling,878
english language,711
paid time off,5039
life insurance,4179
ethics,1222
delegation,946
patient safety,393
background check,1746
product development,2838
food service,237
negotiation skills,1219
accuracy,2173
clinical experience,445
cpr certification,725
401(k),1534
confidentiality,2396
registered nurse license,226
medical terminology,1064
accountability,1364
dental benefits,850
vision benefits,710
drug screening,635
hearing,688
pto,1127
cpa,719
performance improvement,562
root cause analysis,4661
employee discounts,629
tax preparation,268
401(k) plan,1425
referral bonus,130
parental leave,802
development,3253
math skills,418
physical strength,1934
interviewing,1834
active listening,823
recruiting,2098
strong work ethic,1362
hipaa,883
osha,1296
bending,1358
climbing,987
pushing,594
pulling,581
physical ability,687
malpractice insurance,181
retail sales,827
hiring,1871
stocking,690
pet insurance,380
punctuality,647
clinical skills,248
flexible scheduling,486
hospitality,724
dependability,685
cash register operation,46
holiday pay,271
team environment,1251
event planning,603
physician,278
barber license,2083
cosmetology license,1824
patience,586
transportation,881
problem resolution,1380
housekeeping,650
medication administration,590
registered nurse (rn),232
discharge planning,327
lean manufacturing,2136
internal medicine,244
carrying,565
management experience,388
loss prevention,517
shortterm disability,371
reliable transportation,968
medical coverage,647
english proficiency,1592
retail operations,668
high school diploma/ged,646
infection control,661
prospecting,300
disability insurance,1601
pediatrics,286
mathematical skills,651
restaurant management,146
cash handling,891
safety management,1365
patient education,987
performance evaluation,624
rn license,388
cooking,187
store operations,482
retail management,1348
guest service,215
nursing process,245
critical care,280
care coordination,183
college degree,613
criminal background check,692
flexible schedule,1124
psychotherapy,112
staff development,456
evidencebased practice,351
computer proficiency,669
property management,657
employee relations,490
bsn,280
referral bonuses,124
401k retirement plan,221
safety and security,201
diagnosis,324
board certification,221
bls,551
flexible spending accounts,640
sales skills,323
rn,225
basic math skills,208
care planning,179
travel nursing,434
legal research,397
cashier,96
behavioral health,221
mental health counseling,22
weekly pay,136
allied health professional,21
mathematical calculations,172
medical records,272
nurse practitioner,209
